100
1	2	29		1	3	86		3	4	98		1	5	22		4	6	73
4	7	38		6	8	-54		2	9	61		3	9	3		8	10	8
4	11	39		4	12	70		1	13	52		8	13	93		5	14	33
1	15	6		5	16	70		6	17	98		14	17	59		1	18	36
3	19	15		4	19	63		13	19	30		8	20	52		9	20	45
10	20	39		10	21	0		13	21	-18		17	21	76		2	22	77
10	22	67		21	22	44		5	23	7		11	23	78		19	23	62
16	24	80		18	24	94		21	24	44		22	25	72		22	26	71
6	27	80		6	28	11		11	28	71		21	28	98		20	29	45
4	30	0		12	30	85		13	30	39		11	31	99		19	31	99
4	32	25		28	32	54		8	33	79		13	33	73		26	33	56
27	34	71		5	35	61		10	35	19		11	35	72		22	35	46
30	35	67		7	36	54		10	36	-16		28	36	61		21	37	62
29	37	49		31	37	41		12	38	71		20	38	32		12	39	4
26	39	53		12	40	-46		13	40	28		8	41	11		19	41	-36
40	41	10		4	42	-74		1	43	77		34	43	64		3	44	31
17	44	26		6	45	25		13	45	46		20	45	72		27	45	71
29	45	57		6	46	94		17	46	43		44	46	67		4	47	17
8	47	31		15	47	71		44	47	85		46	47	17		2	48	73
26	48	28		30	48	97		46	48	58		3	49	84		47	49	34
2	50	35		32	50	39		40	50	27		43	51	-77		8	52	-73
11	52	48		30	52	12		33	52	56		6	53	-72		21	53	59
24	53	88		5	54	4		14	54	26		27	54	23		39	54	63
6	55	84		12	55	40		14	55	52		16	55	84		34	55	41
54	55	13		23	56	17		26	56	83		32	56	49		41	56	17
22	57	-49		32	57	20		40	57	93		25	58	-60		53	58	48
5	59	22		18	59	17		20	59	49		31	59	6		45	59	43
19	60	18		36	60	87		37	60	48		41	60	56		6	61	2
9	61	75		39	61	92		15	62	3		36	62	35		61	62	20
7	63	30		23	63	88		24	63	96		54	63	29		59	63	31
12	64	87		33	64	95		37	64	94		9	65	88		44	65	21
45	65	49		26	66	41		38	66	72		44	66	60		6	67	70
38	67	48		47	67	44		61	67	47		6	68	77		12	68	18
29	68	94		30	68	71		45	68	79		38	69	91		44	69	22
48	69	97		14	70	-20		53	70	10		4	71	0		21	71	68
32	71	66		45	71	79		28	72	-62		31	72	1		44	73	-17
69	73	79		31	74	4		73	74	84		4	75	-1		16	75	57
35	75	81		39	75	8		43	75	48		4	76	36		15	76	37
46	76	18		59	76	24		7	77	4		29	77	58		37	77	28
68	77	83		18	78	77		38	78	29		73	78	7		77	78	33
5	79	54		48	79	63		12	80	33		18	80	90		39	80	3
63	80	88		69	80	74		17	81	-94		25	81	0		49	81	25
66	81	55		80	81	70		11	82	28		23	82	10		64	82	78
2	83	6		19	83	90		35	83	35		74	83	78		4	84	-34
26	84	77		46	84	35		76	84	41		4	85	85		6	85	16
24	86	-84		26	86	-7		55	86	11		63	86	66		77	86	69
80	86	61		22	87	11		25	87	-87		53	87	51		62	87	34
78	87	7		16	88	76		19	88	30		32	88	27		58	88	79
77	88	7		23	89	5		26	89	79		81	89	87		85	89	10
3	90	26		43	90	97		65	90	21		71	90	33		83	90	67
84	90	38		68	91	99		83	91	34		2	92	-85		19	92	97
27	92	42		33	92	22		35	92	5		40	92	95		42	92	45
44	92	18		48	92	9		49	92	75		57	92	2		82	92	52
24	93	49		45	93	42		65	93	68		2	94	53		10	94	73
87	94	54		9	95	36		47	95	48		56	95	-73		61	95	71
69	95	6		94	95	57		22	96	64		33	96	88		37	96	18
51	96	0		28	97	86		44	97	67		67	97	53		4	98	-75
58	98	45		84	98	80		9	99	39		13	99	4		16	99	81
21	99	77		42	99	80		60	99	61		68	99	74		78	99	-5
88	99	-54		23	100	58		26	100	6		44	100	73		74	100	86
